chrX_7_one.fasta	>dm5	6361930	6362314	{6362308: 'TAA'}
chr3L_747_one.fasta	>ZI240	6361930	6362314	{}
chr3L_747_one.fasta	>ZI241	6361930	6362314	{}
chr3L_747_one.fasta	>ZI250	6361930	6362314	{}
chr3L_747_one.fasta	>ZI251N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI252	6361930	6362314	{}
chr3L_747_one.fasta	>ZI253	6361930	6362314	{}
chr3L_747_one.fasta	>ZI254N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI255	6361930	6362314	{}
chr3L_747_one.fasta	>ZI26	6361930	6362314	{}
chr3L_747_one.fasta	>ZI261	6361930	6362314	{}
chr3L_747_one.fasta	>ZI263	6361930	6362314	{}
chr3L_747_one.fasta	>ZI264	6361930	6362314	{}
chr3L_747_one.fasta	>ZI265	6361930	6362314	{}
chr3L_747_one.fasta	>ZI267	6361930	6362314	{}
chr3L_747_one.fasta	>ZI268	6361930	6362314	{}
chr3L_747_one.fasta	>ZI269	6361930	6362314	{}
chr3L_747_one.fasta	>ZI27	6361930	6362314	{}
chr3L_747_one.fasta	>ZI271	6361930	6362314	{}
chr3L_747_one.fasta	>ZI273N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI276	6361930	6362314	{}
chr3L_747_one.fasta	>ZI279	6361930	6362314	{}
chr3L_747_one.fasta	>ZI28	6361930	6362314	{}
chr3L_747_one.fasta	>ZI281	6361930	6362314	{}
chr3L_747_one.fasta	>ZI284	6361930	6362314	{}
chr3L_747_one.fasta	>ZI286	6361930	6362314	{}
chr3L_747_one.fasta	>ZI291	6361930	6362314	{}
chr3L_747_one.fasta	>ZI292	6361930	6362314	{6362164: 'TGA'}
chr3L_747_one.fasta	>ZI293	6361930	6362314	{}
chr3L_747_one.fasta	>ZI295	6361930	6362314	{}
chr3L_747_one.fasta	>ZI296	6361930	6362314	{}
chr3L_747_one.fasta	>ZI303	6361930	6362314	{}
chr3L_747_one.fasta	>ZI311N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI313	6361930	6362314	{}
chr3L_747_one.fasta	>ZI314	6361930	6362314	{}
chr3L_747_one.fasta	>ZI316	6361930	6362314	{}
chr3L_747_one.fasta	>ZI317	6361930	6362314	{}
chr3L_747_one.fasta	>ZI319	6361930	6362314	{}
chr3L_747_one.fasta	>ZI31N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI320	6361930	6362314	{}
chr3L_747_one.fasta	>ZI321	6361930	6362314	{}
chr3L_747_one.fasta	>ZI324	6361930	6362314	{}
chr3L_747_one.fasta	>ZI329	6361930	6362314	{}
chr3L_747_one.fasta	>ZI33	6361930	6362314	{}
chr3L_747_one.fasta	>ZI332	6361930	6362314	{}
chr3L_747_one.fasta	>ZI333	6361930	6362314	{}
chr3L_747_one.fasta	>ZI335	6361930	6362314	{}
chr3L_747_one.fasta	>ZI336	6361930	6362314	{}
chr3L_747_one.fasta	>ZI339	6361930	6362314	{}
chr3L_747_one.fasta	>ZI341	6361930	6362314	{}
chr3L_747_one.fasta	>ZI342	6361930	6362314	{}
chr3L_747_one.fasta	>ZI344	6361930	6362314	{}
chr3L_747_one.fasta	>ZI348	6361930	6362314	{}
chr3L_747_one.fasta	>ZI351	6361930	6362314	{}
chr3L_747_one.fasta	>ZI352	6361930	6362314	{}
chr3L_747_one.fasta	>ZI353	6361930	6362314	{}
chr3L_747_one.fasta	>ZI357N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI358	6361930	6362314	{}
chr3L_747_one.fasta	>ZI359	6361930	6362314	{}
chr3L_747_one.fasta	>ZI362	6361930	6362314	{}
chr3L_747_one.fasta	>ZI364	6361930	6362314	{}
chr3L_747_one.fasta	>ZI365	6361930	6362314	{}
chr3L_747_one.fasta	>ZI368	6361930	6362314	{}
chr3L_747_one.fasta	>ZI370	6361930	6362314	{}
chr3L_747_one.fasta	>ZI373	6361930	6362314	{}
chr3L_747_one.fasta	>ZI374	6361930	6362314	{}
chr3L_747_one.fasta	>ZI377	6361930	6362314	{}
chr3L_747_one.fasta	>ZI378	6361930	6362314	{}
chr3L_747_one.fasta	>ZI379	6361930	6362314	{}
chr3L_747_one.fasta	>ZI380	6361930	6362314	{}
chr3L_747_one.fasta	>ZI381	6361930	6362314	{}
chr3L_747_one.fasta	>ZI384	6361930	6362314	{}
chr3L_747_one.fasta	>ZI386	6361930	6362314	{}
chr3L_747_one.fasta	>ZI388	6361930	6362314	{}
chr3L_747_one.fasta	>ZI392	6361930	6362314	{}
chr3L_747_one.fasta	>ZI394N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI395	6361930	6362314	{}
chr3L_747_one.fasta	>ZI396	6361930	6362314	{}
chr3L_747_one.fasta	>ZI397N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI398	6361930	6362314	{}
chr3L_747_one.fasta	>ZI400	6361930	6362314	{}
chr3L_747_one.fasta	>ZI402	6361930	6362314	{}
chr3L_747_one.fasta	>ZI405	6361930	6362314	{}
chr3L_747_one.fasta	>ZI413	6361930	6362314	{}
chr3L_747_one.fasta	>ZI418N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI420	6361930	6362314	{}
chr3L_747_one.fasta	>ZI421	6361930	6362314	{}
chr3L_747_one.fasta	>ZI429	6361930	6362314	{}
chr3L_747_one.fasta	>ZI431	6361930	6362314	{}
chr3L_747_one.fasta	>ZI433	6361930	6362314	{}
chr3L_747_one.fasta	>ZI437	6361930	6362314	{}
chr3L_747_one.fasta	>ZI443	6361930	6362314	{}
chr3L_747_one.fasta	>ZI444	6361930	6362314	{}
chr3L_747_one.fasta	>ZI445	6361930	6362314	{}
chr3L_747_one.fasta	>ZI446	6361930	6362314	{}
chr3L_747_one.fasta	>ZI447	6361930	6362314	{}
chr3L_747_one.fasta	>ZI448	6361930	6362314	{}
chr3L_747_one.fasta	>ZI453	6361930	6362314	{}
chr3L_747_one.fasta	>ZI455N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI456	6361930	6362314	{}
chr3L_747_one.fasta	>ZI457	6361930	6362314	{}
chr3L_747_one.fasta	>ZI458	6361930	6362314	{}
chr3L_747_one.fasta	>ZI460	6361930	6362314	{}
chr3L_747_one.fasta	>ZI466	6361930	6362314	{}
chr3L_747_one.fasta	>ZI467	6361930	6362314	{}
chr3L_747_one.fasta	>ZI468	6361930	6362314	{}
chr3L_747_one.fasta	>ZI471	6361930	6362314	{}
chr3L_747_one.fasta	>ZI472	6361930	6362314	{}
chr3L_747_one.fasta	>ZI476	6361930	6362314	{}
chr3L_747_one.fasta	>ZI477	6361930	6362314	{}
chr3L_747_one.fasta	>ZI486	6361930	6362314	{}
chr3L_747_one.fasta	>ZI488	6361930	6362314	{}
chr3L_747_one.fasta	>ZI490	6361930	6362314	{}
chr3L_747_one.fasta	>ZI491	6361930	6362314	{}
chr3L_747_one.fasta	>ZI504	6361930	6362314	{}
chr3L_747_one.fasta	>ZI505	6361930	6362314	{}
chr3L_747_one.fasta	>ZI508	6361930	6362314	{}
chr3L_747_one.fasta	>ZI50N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI514N	6361930	6362314	{}
chr3L_747_one.fasta	>ZI517	6361930	6362314	{}
chr3L_747_one.fasta	>ZI523	6361930	6362314	{}
chr3L_747_one.fasta	>ZI524	6361930	6362314	{}
chr3L_747_one.fasta	>ZI527	6361930	6362314	{}
chr3L_747_one.fasta	>ZI530	6361930	6362314	{}
chr3L_747_one.fasta	>ZI56	6361930	6362314	{}
chr3L_747_one.fasta	>ZI59	6361930	6362314	{}
chr3L_747_one.fasta	>ZI61	6361930	6362314	{}
chr3L_747_one.fasta	>ZI68	6361930	6362314	{}
chr3L_747_one.fasta	>ZI76	6361930	6362314	{}
chr3L_747_one.fasta	>ZI81	6361930	6362314	{}
chr3L_747_one.fasta	>ZI85	6361930	6362314	{}
chr3L_747_one.fasta	>ZI86	6361930	6362314	{}
chr3L_747_one.fasta	>ZI90	6361930	6362314	{}
chr3L_747_one.fasta	>ZI91	6361930	6362314	{}
chr3L_747_one.fasta	>ZI99	6361930	6362314	{}
